Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,22p,C1555
C2,0603,1,10u,C96446
C4,0603,1,22u,C59461
C5,0402,1,100n,C1525
D1,0603,1,WHITE,C2290
D2,0603,1,RED,C2286
J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,C2988369
"R1, R2, R5, R6",0402,4,100,C25076
R10,0402,1,10k,C25744
"R11, R12",0402,2,5.1kΩ,C25905
R13,0603,1,150k,C22807
R14,0603,1,300k,C23024
"R3, R4",0603,2,270,C22966
"R7, R8, R9",0402,3,1k,C11702
"SW1, SW2",TS-1088-AR02016,2,SW_Push,C720477
U1,SOT-89-3,1,AMS1117-3.3,C5120796
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V305FBP6,C5123443
"U3, U4",SOT-23-6,2,CH217K,C7462749
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12M,C9002
